SampleID,Site,Treatment_salt,Field_location,Field_or_Buffer
AG_HC_001,HydeCo,low,main,field
AG_HC_002,HydeCo,low,main,field
AG_HC_003,HydeCo,low,main,field
AG_HC_004,HydeCo,low,main,field
AG_HC_005,HydeCo,med,main,field
AG_HC_006,HydeCo,med,main,field
AG_HC_007,HydeCo,med,main,field
AG_HC_008,HydeCo,med,main,field
AG_HC_009,HydeCo,high,main,field
AG_HC_010,HydeCo,high,main,field
AG_HC_011,HydeCo,high,main,field
AG_HC_012,HydeCo,high,main,field
AG_HC_013,HydeCo,low,internal,field
AG_HC_014,HydeCo,low,internal,field
AG_HC_015,HydeCo,low,internal,field
AG_HC_016,HydeCo,low,internal,field
AG_HC_017,HydeCo,med,internal,field
AG_HC_018,HydeCo,med,internal,field
AG_HC_019,HydeCo,med,internal,field
AG_HC_020,HydeCo,med,internal,field
AG_HC_021,HydeCo,high,internal,field
AG_HC_022,HydeCo,high,internal,field
AG_HC_023,HydeCo,high,internal,field
AG_HC_024,HydeCo,high,internal,field
AG_HC_025,HydeCo,low,main,buffer
AG_HC_026,HydeCo,med,main,buffer
AG_HC_027,HydeCo,high,main,buffer
AG_HC_028,HydeCo,comb,internal,buffer
AG_LD_001,PittCo,no_prior_salt_info,NorthField,field
AG_LD_002,PittCo,no_prior_salt_info,NorthField,field
AG_LD_003,PittCo,no_prior_salt_info,NorthField,field
AG_LD_004,PittCo,no_prior_salt_info,NorthField,field
AG_LD_005,PittCo,no_prior_salt_info,NorthBuffer,buffer
AG_LD_006,PittCo,no_prior_salt_info,NorthBuffer,buffer
AG_LD_007,PittCo,no_prior_salt_info,NorthBuffer,buffer
AG_LD_008,PittCo,no_prior_salt_info,NorthBuffer,buffer
AG_LD_009,PittCo,no_prior_salt_info,EastBuffer,buffer
AG_LD_010,PittCo,no_prior_salt_info,EastBuffer,buffer
AG_LD_011,PittCo,no_prior_salt_info,EastBuffer,buffer
AG_LD_012,PittCo,no_prior_salt_info,EastBuffer,buffer
AG_LD_013,PittCo,no_prior_salt_info,EastField,field
AG_LD_014,PittCo,no_prior_salt_info,EastField,field
AG_LD_015,PittCo,no_prior_salt_info,EastField,field
AG_LD_016,PittCo,no_prior_salt_info,EastField,field
AG_LD_017,PittCo,no_prior_salt_info,SouthField,field
AG_LD_018,PittCo,no_prior_salt_info,SouthField,field
AG_LD_019,PittCo,no_prior_salt_info,SouthField,field
AG_LD_020,PittCo,no_prior_salt_info,SouthField,field
AG_LD_021,PittCo,no_prior_salt_info,SouthBuffer,buffer
AG_LD_022,PittCo,no_prior_salt_info,SouthBuffer,buffer
AG_LD_023,PittCo,no_prior_salt_info,SouthBuffer,buffer
AG_LD_024,PittCo,no_prior_salt_info,SouthBuffer,buffer