Sample,NH4_uM,NH4_mg.L,NO3_NO2_uM,NO3_NO2_mg.L,KCl_field_moist_g_soil
AG_HC_001_low_main1_plot1,9.611,0.134621277,133.168,1.865284176,5.01
AG_HC_002_low_main1_plot2,NA,NA,NA,NA,5.00
AG_HC_003_low_main1_plot3,7.889,0.110501223,143.266,2.006726862,5.03
AG_HC_004_low_main1_plot4,9.126,0.127827882,131.115,1.836527805,5.02
AG_HC_005_med_main1_plot1,8.387,0.117476709,-0.543,-0.007605801,5.01
AG_HC_006_med_main1_plot2,13.285,0.186082995,0.095,0.001330665,5.01
AG_HC_007_med_main1_plot3,NA,NA,NA,NA,5.03
AG_HC_008_med_main1_plot4,8.596,0.120404172,5.678,0.079531746,5.05
AG_HC_009_high_main1_plot1,8.981,0.125796867,-6.218,-0.087095526,5.04
AG_HC_010_high_main1_plot2,12.948,0.181362636,-4.923,-0.068956461,5.00
AG_HC_011_high_main1_plot3,12.691,0.177762837,-5.566,-0.077962962,5.03
AG_HC_012_high_main1_plot4,10.571,0.148067997,-5.959,-0.083467713,5.00
AG_HC_013_low_internal2_plot1,6.958,0.097460706,5.433,0.076100031,5.03
AG_HC_014_low_internal2_plot2,8.628,0.120852396,15.38,0.21542766,5.01
AG_HC_015_low_internal2_plot3,13.927,0.195075489,27.079,0.379295553,5.01
AG_HC_016_low_internal2_plot4,10.507,0.147171549,13.311,0.186447177,5.00
AG_HC_017_med_internal2_plot1,NA,NA,NA,NA,5.03
AG_HC_018_med_internal2_plot2,10.169,0.142437183,12.102,0.169512714,5.02
AG_HC_019_med_internal2_plot3,NA,NA,NA,NA,5.00
AG_HC_020_med_internal2_plot4,5.625,0.078789375,13.503,0.189136521,5.01
AG_HC_021_high_internal2_plot1,NA,NA,NA,NA,5.03
AG_HC_022_high_internal2_plot2,7.809,0.109380663,32.389,0.453672723,5.00
AG_HC_023_high_internal2_plot3,NA,NA,NA,NA,5.04
AG_HC_024_high_internal2_plot4,10.844,0.151891908,52.554,0.736123878,5.04
AG_HC_025_low_main_buffer,12.097,0.169442679,1.882,0.026361174,5.02
AG_HC_026_med_main_buffer,NA,NA,NA,NA,5.04
AG_HC_027_high_main_buffer,NA,NA,NA,NA,5.08
AG_HC_028_comb_internal_buffer,13.67,0.19147569,48.901,0.684956307,5.02
AG_LD_001_North Field_1,6.605,0.092516235,12.36,0.17312652,5.06
AG_LD_002_North Field_2,5.98,0.08376186,11.535,0.161570745,5.07
AG_LD_003_North Field_3,5.234,0.073312638,12.375,0.173336625,5.24
AG_LD_004_North Field_4,6.391,0.089518737,9.352,0.130993464,5.32
AG_LD_005_North Buffer_1,7.077,0.099127539,4.87,0.06821409,5.08
AG_LD_006_North Buffer_2,7.428,0.104043996,6.333,0.088706331,5.05
AG_LD_007_North Buffer_3,6.445,0.090275115,3.876,0.054291132,5.05
AG_LD_008_North Buffer_4,7.53,0.10547271,4.676,0.065496732,5.13
AG_LD_009_East Buffer_1,11.955,0.167453685,7.408,0.103763856,5.18
AG_LD_010_East Buffer_2,10.104,0.141526728,3.844,0.053842908,5.02
AG_LD_011_East Buffer_3,9.387,0.131483709,3.293,0.046125051,5.33
AG_LD_012_East Buffer_4,9.307,0.130363149,10.664,0.149370648,5.15
AG_LD_013_East Field_1,5.472,0.076646304,7.202,0.100878414,5.08
AG_LD_014_East Field_2,27.693,0.387895851,3.422,0.047931954,5.14
AG_LD_015_East Field_3,22.692,0.317846844,5.108,0.071547756,5.09
AG_LD_016_East Field_4,11.355,0.159049485,11.242,0.157466694,5.08
AG_LD_017_South Field_1,11.289,0.158125023,6.194,0.086759358,5.1
AG_LD_018_South Field_2,6.459,0.090471213,4.963,0.069516741,5.29
AG_LD_019_South Field_3,5.387,0.075455709,4.529,0.063437703,4.99
AG_LD_020_South Field_4,9.401,0.131679807,5.173,0.072458211,5.02
AG_LD_021_South Buffer_1,10.762,0.150743334,2.911,0.040774377,5.32
AG_LD_022_South Buffer_2,12.105,0.169554735,2.021,0.028308147,5.05
AG_LD_023_South Buffer_3,11.085,0.155267595,2.398,0.033588786,5.22
AG_LD_024_South Buffer_4,11.34,0.15883938,4.708,0.065944956,5.33